Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,WX 1,162.55,off,0,,67,67,23,NN,FM,5,,,,,
1,WX 2,162.4,off,0,,67,67,23,NN,FM,5,,,,,
2,WX 3,162.475,off,0,,67,67,23,NN,FM,5,,,,,
3,WX 4,162.425,off,0,,67,67,23,NN,FM,5,,,,,
4,WX 5,162.45,off,0,,67,67,23,NN,FM,5,,,,,
5,WX 6,162.5,off,0,,67,67,23,NN,FM,5,,,,,
6,WX 7,162.525,off,0,,67,67,23,NN,FM,5,,,,,
7,MURS 1,151.82,,0,Tone,67,67,23,NN,NFM,5,,,,,
8,MURS 2,151.88,,0,Tone,67,67,23,NN,NFM,5,,,,,
9,MURS 3,151.94,,0,Tone,67,67,23,NN,NFM,5,,,,,
10,MURS 4,154.57,,0,Tone,67,67,23,NN,FM,5,,,,,
11,MURS 5,154.6,,0,Tone,67,67,23,NN,FM,5,,,,,
12,FRS 01,462.5625,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
13,FRS 1,462.5625,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
14,FRS 2,462.5875,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
15,FRS 3,462.6125,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
16,FRS 4,462.6375,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
17,FRS 5,462.6625,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
18,FRS 6,462.6875,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
19,FRS 7,462.7125,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
20,FRS 8,467.5625,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
21,FRS 9,467.5875,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
22,FRS 10,467.6125,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
23,FRS 11,467.6375,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
24,FRS 12,467.6625,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
25,FRS 13,467.6875,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
26,FRS 14,467.7125,,0,Tone,67,67,23,NN,NFM,12.5,,,,,
27,GMRS15,462.55,,0,Tone,67,67,23,NN,FM,25,,,,,
28,GMRS16,462.575,,0,Tone,67,67,23,NN,FM,25,,,,,
29,GMRS17,462.6,,0,Tone,67,67,23,NN,FM,25,,,,,
30,GMRS18,462.625,,0,Tone,67,67,23,NN,FM,25,,,,,
31,GMRS19,462.65,,0,Tone,67,67,23,NN,FM,25,,,,,
32,GMRS20,462.675,,0,Tone,141.3,141.3,23,NN,FM,25,,,,,
33,GMRS21,462.7,,0,Tone,67,67,23,NN,FM,25,,,,,
34,GMRS22,462.725,,0,Tone,67,67,23,NN,FM,25,,,,,
35,GMR15R,462.55,+,5,Tone,141.3,141.3,23,NN,FM,25,,,,,
36,GMR16R,462.575,+,5,Tone,141.3,141.3,23,NN,FM,25,,,,,
37,GMR17R,462.6,+,5,Tone,141.3,141.3,23,NN,FM,25,,,,,
38,GMR18R,462.625,+,5,Tone,141.3,141.3,23,NN,FM,25,,,,,
39,GMR19R,462.65,+,5,Tone,141.3,141.3,23,NN,FM,25,,,,,
40,GMR20R,462.675,+,5,Tone,141.3,141.3,23,NN,FM,25,,,,,
41,GMR21R,462.7,+,5,Tone,141.3,141.3,23,NN,FM,25,,,,,
42,GMR22R,462.725,+,5,Tone,141.3,141.3,23,NN,FM,25,,,,,
43,BUSRED,151.625,,0,Tone,67,67,23,NN,FM,5,,,,,
44,BUSPUR,151.955,,0,Tone,67,67,23,NN,FM,5,,,,,
45,VSAR16,155.16,,0,Tone,127.3,127.3,,,NFM,,,,,,
46,VTAC11/36,151.1375,-,8.335,Tone,156.7,156.7,,,NFM,,,,,,
47,VCALL10,155.7525,,0,Tone,156.7,156.7,,,NFM,,,,,,
48,VTAC13/38,158.7375,-,0.735,Tone,156.7,156.7,,,NFM,,,,,,
49,VTAC34/34D,158.7375,,4.285,Tone,156.7,156.7,,,NFM,,,,,,
50,VTAC14/33,159.4725,,8.335,Tone,156.7,156.7,,,NFM,,,,,,
51,VTAC35/35D,159.4725,,0.735,Tone,156.7,156.7,,,NFM,,,,,,
52,VTAC17/17D,161.85,,4.6,Tone,156.7,156.7,,,NFM,,,,,,
53,UCALL40/40D,453.2125,-,5,Tone,156.7,156.7,,,NFM,,,,,,
54,UTAC41/41D,453.4625,-,5,Tone,156.7,156.7,,,NFM,,,,,,
55,UTAC42/42D,453.7125,-,5,Tone,156.7,156.7,,,NFM,,,,,,
56,UTAC43/43D,453.8625,-,5,Tone,156.7,156.7,,,NFM,,,,,,
57,VFIRE22,154.265,,0, ,0,0,,,NFM,,,,,,
58,VFIRE24,154.2725,,0, ,0,0,,,NFM,,,,,,
59,VFIRE21,154.28,,0, ,0,0,,,NFM,,,,,,
60,VFIRE25,154.2875,,0, ,0,0,,,NFM,,,,,,
61,VFIRE23,154.295,,0, ,0,0,,,NFM,,,,,,
62,VFIRE26,154.3025,,0, ,0,0,,,NFM,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,APRS,144.39,,0,Tone,0,0,23,NN,FM,5,,,,,
98,HAM 42,146.42,,0,Tone,0,0,23,NN,FM,5,,,,,
99,HAM 52,146.52,,0,Tone,0,0,23,NN,FM,5,,,,,
100,HAM 55,146.55,,0,Tone,0,0,23,NN,FM,5,,,,,
101,HAMUHF,446,,0,Tone,0,0,23,NN,FM,5,,,,,
102,HAM U3,446.03,,0,Tone,0,0,23,NN,FM,5,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
